ID ,Text,Sentiment_text,Sentiment_label,seg_text_lstm,seg_text_crf
20,មាននាក់ស្តាប់តើ,Positive ,1.0,មាន នាក់ ស្តាប់ តើ,មាន នាក់ ស្តាប់ តើ
21,ចូលចិត្ត,Positive ,1.0,ចូលចិត្ត,ចូលចិត្ត
22,គ្រាប់ពេជ្រនៅតែគ្រាប់ពេជ្រ,Positive ,1.0,គ្រាប់ ពេជ្រ នៅតែ គ្រាប់ ពេជ្រ,គ្រាប់ ពេជ្រ នៅតែ គ្រាប់ ពេជ្រ
23,ទាល់តែឧកញ៉ាធ្លាក់ខ្លួនបែបនេះ ទើបម្នាក់ៗពេញចិត្ត,Negative ,0.0,ទាល់តែ ឧកញ៉ា ធ្លាក់ខ្លួន បែប នេះ ទើប ម្នាក់ ៗ ពេញចិត្ត,ទាល់តែ ឧកញ៉ា ធ្លាក់ខ្លួន បែប នេះ ទើប ម្នាក់ ៗ ពេញចិត្ត
24,ខានលឺយូហើយអាយដល,Positive ,1.0,ខាន លឺ យូ ហើយ អាយ ដល,ខាន លឺ យូ ហើយ អាយ ដល
25,បងធំ មន្ត មកវិញហេីយ,Positive ,1.0,បង ធំ មន្ត មកវិញ ហេីយ,បង ធំ មន្ត មកវិញ ហេីយ
26,រង់ចាំយូរហេីយ​ អាយដល,Positive ,1.0,រង់ចាំ យូរ ហេីយ អាយ ដល,រង់ចាំ យូរ ហេីយ អាយ ដល
27,អានេះមើងាយគេសាហាវ,Negative ,0.0,អានេះ មើងាយ គេ សាហាវ,អា នេះ មើងាយ គេ សាហាវ
28,ថាគេតាមដានវាតែដឹងពីគេគ្រប់រឿងម៉ង ម៉ាអាឈ្មោល,Negative ,0.0,ថា គេ តាមដាន វា តែ ដឹង ពី គេ គ្រប់ រឿង ម៉ង ម៉ាអា ឈ្មោល,ថា គេ តាមដាន វាតែ ដឹង ពី គេ គ្រប់ រឿង ម៉ង ម៉ា អាឈ្មោល
29,អាប្អូននឹងវាថ្លើបធំហើយបានមកចង់លេងមួយបង,Negative ,0.0,អា ប្អូន នឹង វា ថ្លើប ធំ ហើយ បាន មក ចង់ លេង មួយ បង,អាប្អូន នឹង វា ថ្លើប ធំ ហើយ បាន មក ចង់ លេង មួយ បង
30,ស្ដាយហា៎អត់បានទៅមើល,Negative ,0.0,ស្ដាយ ហា៎ អត់ បាន ទៅ មើល,ស្ដាយ ហា៎ អត់ បាន ទៅ មើល
31,បទអីនិងដឹងប្រាប់ផង,Negative ,0.0,បទ អី និង ដឹង ប្រាប់ ផង,បទ អី និង ដឹង ប្រាប់ ផង
32,បានត្រឹមមើលតាមឡាយ,Negative ,0.0,បាន ត្រឹម មើល តាម ឡាយ,បាន ត្រឹម មើល តាម ឡាយ
33,ញុមមើលឡាយខ្ចីលទៅរងាពេក,Positive ,1.0,ញុម មើល ឡាយ ខ្ចីល ទៅ រងា ពេក,ញុម មើល ឡាយ ខ្ចីល ទៅ រងា ពេក
34,ឈឺហើយអត់បានទៅមើលផ្ទាល់,Negative ,0.0,ឈឺ ហើយ អត់ បាន ទៅ មើល ផ្ទាល់,ឈឺ ហើយ អត់ បាន ទៅ មើល ផ្ទាល់
35,រវល់ខួបកំណើតកូនអត់បានទៅស្ដាយណាស់,Negative ,0.0,រវល់ ខួបកំណើត កូន អត់ បាន ទៅ ស្ដាយ ណាស់,រវល់ ខួបកំណើត កូន អត់ បាន ទៅ ស្ដាយ ណាស់
36,ស្តាយអត់ទៅមើលផ្ទាល់,Negative ,0.0,ស្តាយ អត់ ទៅ មើល ផ្ទាល់,ស្តាយ អត់ ទៅ មើល ផ្ទាល់
37,បទខ្មែរមិចក៏មិនច្រៀង,Negative ,0.0,បទ ខ្មែរ មិច ក៏ មិន ច្រៀង,បទ ខ្មែរ មិច ក៏ មិន ច្រៀង
38,អ្នកធ្វើគេខំណាស់ ណាស់តែពួកទើសទេ ទើសគ្រប់កន្លែងរកកន្លែងទើសគ្រប់ យ៉ាង,Negative ,0.0,អ្នក ធ្វើ គេ ខំ ណាស់ ណាស់ តែ ពួក ទើស ទេ ទើស គ្រប់ កន្លែង រក កន្លែង ទើស គ្រប់ យ៉ាង,អ្នកធ្វើ គេ ខំ ណាស់ ណាស់ តែ ពួក ទើស ទេ ទើស គ្រប់ កន្លែង រក កន្លែង ទើស គ្រប់ យ៉ាង
39,អរគុណបងដែលបានបកស្រាយកុំអេាយមានមហាជនមួួយចំនួនយល់ថាលួចបទគេ ចំលងគេ,Positive ,1.0,អរគុណ បង ដែល បាន បកស្រាយ កុំ អេាយ មាន មហាជន មួួយ ចំនួន យល់ ថា លួច បទ គេ ចំលង គេ,អរគុណ បង ដែល បាន បកស្រាយ កុំ អេាយ មាន មហាជន មួួយចំនួន យល់ ថា លួច បទ គេ ចំលង គេ
40,ម៉េចក៏ចូលចិត្តចម្លងតែពី គេ,Negative ,0.0,ម៉េច ក៏ ចូលចិត្ត ចម្លង តែពី គេ,ម៉េច ក៏ ចូលចិត្ត ចម្លង តែ ពី គេ
41,បើចង់ផ្សព្វផ្សាយអោយម្ចាស់ដើមច្រៀងល្អជាង ព្រោះមុនហ្នឹងល្បីរួចទៅហើយ តែពេលដូរអ្នកចម្រៀងចឹង ល្បីថែមទៀតតែគេរិះគន់វិញ,Negative ,0.0,បើ ចង់ ផ្សព្វផ្សាយ អោយ ម្ចាស់ ដើម ច្រៀង ល្អ ជាង ព្រោះ មុន ហ្នឹង ល្បី រួចទៅហើយ តែ ពេល ដូរ អ្នក ចម្រៀង ចឹង ល្បី ថែម ទៀត តែ គេ រិះគន់ វិញ,បើ ចង់ ផ្សព្វផ្សាយ អោយ ម្ចាស់ ដើម ច្រៀង ល្អ ជាង ព្រោះ មុន ហ្នឹង ល្បី រួចទៅហើយ តែ ពេល ដូរ អ្នកចម្រៀង ចឹង ល្បី ថែម ទៀត តែ គេ រិះគន់ វិញ
42,ថតបានស្អាតចម្រៀងពិរោះប៉ុន្តែយ៉ាប់ត្រង់មានឡាបូបូធ្វើឲ្យទាញតម្លៃបទចម្រៀងធ្លាក់ចុះ,Positive ,1.0,ថត បាន ស្អាត ចម្រៀង ពិរោះ ប៉ុន្តែ យ៉ាប់ ត្រង់ មាន ឡាបូបូ ធ្វើឲ្យ ទាញ តម្លៃ បទចម្រៀង ធ្លាក់ចុះ,ថត បាន ស្អាត ចម្រៀង ពិរោះ ប៉ុន្តែ យ៉ាប់ ត្រង់ មាន ឡាបូបូធ្វើឲ្យ ទាញ តម្លៃ បទចម្រៀង ធ្លាក់ចុះ
43,ស្ដាប់មិនចូលទេ,Negative ,0.0,ស្ដាប់ មិន ចូល ទេ,ស្ដាប់ មិន ចូល ទេ
44,តែអ្នកកូពីដូចឆ្កួតទាំងmcទាំងអ្នកច្រៀង,Negative ,0.0,តែ អ្នកកូ ពី ដូច ឆ្កួត ទាំង mc ទាំង អ្នក ច្រៀង,តែ អ្នកកូពី ដូច ឆ្កួត ទាំង mc ទាំង អ្នក ច្រៀង
45,មើលទឹកមុខដូចបង្ខំអោយនិយាយ,Negative ,0.0,មើល ទឹកមុខ ដូច បង្ខំ អោយ និយាយ,មើល ទឹកមុខ ដូច បង្ខំ អោយ និយាយ
46,បើចេះស្ទើធ្វើភ្លើល្អជាង(សុភាសិតខ្មែរ),Negative ,0.0,បើ ចេះ ស្ទើ ធ្វើ ភ្លើ ល្អ ជាង ( សុភាសិត ខ្មែរ ),បើ ចេះ ស្ទើ ធ្វើ ភ្លើ ល្អ ជាង ( សុភាសិត ខ្មែរ )
47,មិនបាច់ចេញទេ,Negative ,0.0,មិន បាច់ ចេញ ទេ,មិន បាច់ ចេញ ទេ
48,លុបណាវ៉ាតត្រាចេញទៅបង,Negative ,0.0,លុប ណា វ៉ាតត្រា ចេញ ទៅ បង,លុប ណា វ៉ាត ត្រា ចេញ ទៅ បង
49,សួរថាចត់បាយអត់?,Negative ,0.0,សួរ ថា ចត់ បាយ អត់ ?,សួរ ថា ចត់ បាយ អត់ ?
50,បទសែកមន្តហ្នឹងអ្នកណាជាអ្នកនិពន្ធ? ហើយប្រកាសថាខ្លួនឯងជាម្ចាស់កម្មសិទ្ធថែមទៀតផង ប្រាកដអត់លោក?,Negative ,0.0,បទ សែក មន្ត ហ្នឹង អ្នកណា ជា អ្នកនិពន្ធ ? ហើយ ប្រកាស ថា ខ្លួនឯង ជា ម្ចាស់ កម្មសិទ្ធ ថែម ទៀត ផង ប្រាកដ អត់ លោក ?,បទ សែកមន្ត ហ្នឹង អ្នកណា ជា អ្នកនិពន្ធ ? ហើយ ប្រកាស ថា ខ្លួនឯង ជា ម្ចាស់ កម្មសិទ្ធ ថែម ទៀត ផង ប្រាកដ អត់ លោក ?
51,និពន្ធដូចខ្មោច,Negative ,0.0,និពន្ធ ដូច ខ្មោច,និពន្ធ ដូច ខ្មោច
52,អគុណបងដែលបានបកស្រាយ,Positive ,1.0,អគុណ បង ដែល បាន បកស្រាយ,អគុណ បង ដែល បាន បកស្រាយ
53,ងាប់នឹងគេបង្វែររឿងនឹងទៅខ្មែរ,Negative ,0.0,ងាប់ នឹង គេ បង្វែរ រឿង នឹង ទៅ ខ្មែរ,ងាប់ នឹង គេ បង្វែរ រឿង នឹង ទៅ ខ្មែរ
54,ពិតជាមានន័យណាស់បង,Positive ,1.0,ពិតជា មាន ន័យ ណាស់ បង,ពិតជា មាន ន័យ ណាស់ បង
55,​វា​ហាក់​ដូចជា​ហត់នឿយ​ពេក​ហើយ,Negative,0.0,វា ហាក់ដូចជា ហត់នឿយ ពេក ហើយ,វា ហាក់ដូចជា ហត់នឿយ ពេក ហើយ
56,គ្មាន​ការលើក​ទឹក​ចិត្ត​បាន​ត្រឹម​តែ​ ពាក្យ​ធ្វើ​ឲ្យ​បាក់​ទឹក​ចិត្ត,Negative,0.0,គ្មាន ការលើកទឹកចិត្ត បាន ត្រឹមតែ ពាក្យ ធ្វើឲ្យ បាក់ទឹកចិត្ត,គ្មាន ការលើកទឹកចិត្ត បាន ត្រឹមតែ ពាក្យ ធ្វើឲ្យ បាក់ទឹកចិត្ត
57,ខ្ញុំចង់និយាយថាខ្ញុំស្រឡាញ់បទមួយនេះ,Positive ,1.0,ខ្ញុំ ចង់ និយាយ ថា ខ្ញុំ ស្រឡាញ់ បទ មួយ នេះ,ខ្ញុំ ចង់ និយាយ ថា ខ្ញុំ ស្រឡាញ់ បទ មួយ នេះ
58,គ្រប់បទរបស់គាត់មានពាក្យចុងជួនល្អណាស់ហើយមានអត្ថន័យទៀត,Positive ,1.0,គ្រប់ បទ របស់ គាត់ មាន ពាក្យ ចុង ជួន ល្អ ណាស់ ហើយ មាន អត្ថន័យ ទៀត,គ្រប់ បទ របស់ គាត់ មាន ពាក្យ ចុង ជួន ល្អ ណាស់ ហើយ មាន អត្ថន័យ ទៀត
59,គ្រាន់ថាគេល្អជាងបងហ៎? ម៉េចបានទឹកភ្នែកដោយសារគេបែបនឹង,Negative,0.0,គ្រាន់ ថា គេ ល្អ ជាង បង ហ៎ ? ម៉េច បាន ទឹកភ្នែក ដោយសារ គេ បែប នឹង,គ្រាន់ ថា គេ ល្អ ជាង បង ហ៎ ? ម៉េច បាន ទឹកភ្នែក ដោយសារ គេ បែប នឹង
60,គេនោះល្អជាងបងឆ្ងាយណាស់,Negative,0.0,គេ នោះ ល្អ ជាង បង ឆ្ងាយ ណាស់,គេ នោះ ល្អ ជាង បង ឆ្ងាយ ណាស់
61,សង្សារទុំសុំបែកហើយស្តាប់បត់និង,Negative,0.0,សង្សារ ទុំ សុំ បែក ហើយ ស្តាប់ បត់ និង,សង្សារ ទុំ សុំ បែក ហើយ ស្តាប់ បត់ និង
62,អារម្មណ៍ពេលមានមនុស្សទី3,Negative,0.0,អារម្មណ៍ ពេល មាន មនុស្ស ទី 3,អារម្មណ៍ ពេល មាន មនុស្ស ទី 3
63,សុំកុំទុកខ្ញុំជាមនុស្សទីបី,Negative,0.0,សុំ កុំ ទុក ខ្ញុំ ជា មនុស្ស ទី បី,សុំ កុំ ទុក ខ្ញុំ ជា មនុស្ស ទី បី
64,មនុស្សសម័យនេះប្រែប្រួលអស់ហើយ ព្រមទាំងមនុស្សខ្ញុំស្រលាញ់,Negative,0.0,មនុស្ស សម័យ នេះ ប្រែប្រួល អស់ ហើយ ព្រមទាំង មនុស្ស ខ្ញុំ ស្រលាញ់,មនុស្ស សម័យ នេះ ប្រែប្រួល អស់ ហើយ ព្រមទាំង មនុស្ស ខ្ញុំ ស្រលាញ់
65,គ្រាំទ្រអោយពួកប្អូនរៀនហាត់បន្ថែម,Positive ,1.0,គ្រាំទ្រ អោយ ពួក ប្អូន រៀន ហាត់ បន្ថែម,គ្រាំទ្រ អោយ ពួក ប្អូន រៀន ហាត់បន្ថែម
66,ហេតុអ្វីក៏អូនលួចអ្នកថ្មី,Negative,0.0,ហេតុ អ្វី ក៏ អូន លួច អ្នក ថ្មី,ហេតុ អ្វី ក៏ អូន លួច អ្នក ថ្មី
67,ខ្ញុំអ្នកកម្ពុជាក្រោមជំរាបសួរបងប្អូនខ្មែរយើងទាំងអស់គ្នាបាទ!សូមជួបតែសំណាងល្អទាំងអស់គ្នា,Positive ,1.0,ខ្ញុំ អ្នកកម្ពុជា ក្រោម ជំរាប សួរ បងប្អូន ខ្មែរ យើង ទាំងអស់ គ្នា បាទ ! សូម ជួប តែ សំណាង ល្អ ទាំងអស់ គ្នា,ខ្ញុំ អ្នក កម្ពុជា ក្រោម ជំរាបសួរ បងប្អូន ខ្មែរ យើង ទាំងអស់ គ្នា បាទ ! សូម ជួប តែ សំណាង ល្អ ទាំងអស់ គ្នា
68,ខ្មែរយើងត្រូវតែខ្លាំងកុំអោយអ្នកជិតខាងយើងគេមើលងាយយើង,Positive ,1.0,ខ្មែរ យើង ត្រូវតែ ខ្លាំង កុំ អោយ អ្នកជិតខាង យើង គេ មើលងាយ យើង,ខ្មែរ យើង ត្រូវតែ ខ្លាំង កុំ អោយ អ្នកជិតខាង យើង គេ មើលងាយ យើង
69,ក្មេងជំនាន់ក្រោយសម្ថភាពកាន់តែខ្លាំងហើយ,Positive ,1.0,ក្មេង ជំនាន់ ក្រោយ សម្ថភាព កាន់តែ ខ្លាំង ហើយ,ក្មេង ជំនាន់ ក្រោយ សម្ថភាព កាន់តែ ខ្លាំង ហើយ
70,បទស្អីចឹងស្មានតែឡូយណាស់មែន,Negative,0.0,បទ ស្អី ចឹង ស្មាន តែ ឡូយ ណាស់ មែន,បទ ស្អី ចឹង ស្មាន តែ ឡូយ ណាស់ មែន
71,ខ្ញុំចូរចិត្តពីនឹងណាស់,Positive ,1.0,ខ្ញុំ ចូរ ចិត្ត ពី នឹង ណាស់,ខ្ញុំ ចូរចិត្ត ពី នឹង ណាស់
72,ខ្ញុំស្ដាប់មិនចេះធុញទេ,Positive ,1.0,ខ្ញុំ ស្ដាប់ មិន ចេះ ធុញ ទេ,ខ្ញុំ ស្ដាប់ មិន ចេះ ធុញ ទេ
73,ស្ដាប់ហើយមានអារម្មណ៍ស្រស់ស្រាយ,Positive ,1.0,ស្ដាប់ ហើយ មានអារម្មណ៍ ស្រស់ស្រាយ,ស្ដាប់ ហើយ មាន អារម្មណ៍ ស្រស់ស្រាយ
74,ស្ដាប់បទនឹងហើយមានអារម្ភល្អម៉ង,Positive ,1.0,ស្ដាប់ បទ នឹង ហើយ មានអារម្ភ ល្អ ម៉ង,ស្ដាប់បទ នឹង ហើយ មាន អារម្ភ ល្អ ម៉ង
75,ស្តាប់ហើយរំភើបចង់មានស្នេហ៍កាន់ដៃគ្នារហូតតទៅ,Positive ,1.0,ស្តាប់ ហើយ រំភើប ចង់ មាន ស្នេហ៍ កាន់ ដៃ គ្នា រហូត ត ទៅ,ស្តាប់ ហើយ រំភើប ចង់ មាន ស្នេហ៍ កាន់ ដៃ គ្នា រហូតត ទៅ
76,ការទិញនៅលើគេហទំព័រយ៉ាងងាយស្រួល។,Positive,1.0,ការទិញ នៅលើ គេហទំព័រ យ៉ាង ងាយស្រួល ។,ការទិញ នៅលើ គេហទំព័រ យ៉ាង ងាយស្រួល ។
77,ខ្ញុំមិនពេញចិត្តជាមួយបទចម្រៀងនេះ។,Negative,0.0,ខ្ញុំ មិន ពេញចិត្ត ជាមួយ បទចម្រៀង នេះ ។,ខ្ញុំ មិន ពេញចិត្ត ជាមួយ បទចម្រៀង នេះ ។
78,បរិយាកាសនៅហាងនេះមិនល្អ។,Negative,0.0,បរិយាកាស នៅ ហាង នេះ មិន ល្អ ។,បរិយាកាស នៅ ហាង នេះ មិន ល្អ ។
79,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0,រឿង ថ្មី នេះ ធ្វើឱ្យ ខ្ញុំ ខកចិត្ត ។,រឿង ថ្មី នេះ ធ្វើឱ្យ ខ្ញុំ ខកចិត្ត ។
80,ខ្ញុំចូលចិត្តម៉ាកនេះជាពិសេស។,Positive,1.0,ខ្ញុំ ចូលចិត្ត ម៉ាក នេះ ជាពិសេស ។,ខ្ញុំ ចូលចិត្ត ម៉ាក នេះ ជាពិសេស ។
81,ខ្ញុំបានទទួលទំនិញយ៉ាងឆាប់រហ័ស។,Positive,1.0,ខ្ញុំ បាន ទទួល ទំនិញ យ៉ាង ឆាប់រហ័ស ។,ខ្ញុំ បាន ទទួល ទំនិញ យ៉ាង ឆាប់រហ័ស ។
82,ការបម្រើអតិថិជននៅទីនេះគឺល្អឥតខ្ចោះ។,Positive,1.0,ការបម្រើ អតិថិជន នៅ ទីនេះ គឺ ល្អ ឥត ខ្ចោះ ។,ការបម្រើ អតិថិជន នៅ ទីនេះ គឺ ល្អ ឥត ខ្ចោះ ។
83,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0,បទ ថ្មី នេះ មិន ទាក់ចិត្ត ។,បទ ថ្មី នេះ មិន ទាក់ចិត្ត ។
84,ការសម្តែងរបស់តារាសម្តែងគ្មានគុណភាព។,Negative,0.0,ការសម្តែង របស់ តារា សម្តែង គ្មាន គុណភាព ។,ការសម្តែង របស់ តារា សម្តែង គ្មាន គុណភាព ។
85,បទចម្រៀងនេះប៉ះដល់ចិត្តយ៉ាងខ្លាំង។,Positive,1.0,បទចម្រៀង នេះ ប៉ះ ដល់ ចិត្ត យ៉ាង ខ្លាំង ។,បទចម្រៀង នេះ ប៉ះ ដល់ ចិត្ត យ៉ាង ខ្លាំង ។
86,ខ្ញុំមានបទពិសោធន៍អាក្រក់ជាមួយសេវាកម្មនេះ។,Negative,0.0,ខ្ញុំ មាន បទពិសោធន៍ អាក្រក់ ជាមួយ សេវាកម្ម នេះ ។,ខ្ញុំ មាន បទពិសោធន៍ អាក្រក់ ជាមួយ សេវាកម្ម នេះ ។
87,ខ្ញុំមានបទពិសោធន៍ល្អជាមួយសេវាកម្មនេះ។,Positive,1.0,ខ្ញុំ មាន បទពិសោធន៍ ល្អ ជាមួយ សេវាកម្ម នេះ ។,ខ្ញុំ មាន បទពិសោធន៍ ល្អ ជាមួយ សេវាកម្ម នេះ ។
88,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0,ខ្ញុំ ពិតជា ផ្អែមល្ហែម ជាមួយ បទចម្រៀង ថ្មី នេះ ។,ខ្ញុំ ពិតជា ផ្អែមល្ហែម ជាមួយ បទចម្រៀង ថ្មី នេះ ។
89,សេវាកម្មយ៉ាងល្អប្រសើរ។,Positive,1.0,សេវាកម្ម យ៉ាង ល្អ ប្រសើរ ។,សេវាកម្ម យ៉ាង ល្អ ប្រសើរ ។
90,សេវាកម្មមិនទាន់បំពេញតាមចិត្តទេ។,Negative,0.0,សេវាកម្ម មិន ទាន់ បំពេញ តាម ចិត្ត ទេ ។,សេវាកម្ម មិន ទាន់ បំពេញ តាម ចិត្ត ទេ ។
91,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0,ខ្ញុំ ពិតជា ផ្អែមល្ហែម ជាមួយ បទចម្រៀង ថ្មី នេះ ។,ខ្ញុំ ពិតជា ផ្អែមល្ហែម ជាមួយ បទចម្រៀង ថ្មី នេះ ។
92,ខ្ញុំពិតជាផ្អែមល្ហែមជាមួយបទចម្រៀងថ្មីនេះ។,Positive,1.0,ខ្ញុំ ពិតជា ផ្អែមល្ហែម ជាមួយ បទចម្រៀង ថ្មី នេះ ។,ខ្ញុំ ពិតជា ផ្អែមល្ហែម ជាមួយ បទចម្រៀង ថ្មី នេះ ។
93,រឿងថ្មីនេះធ្វើឱ្យខ្ញុំខកចិត្ត។,Negative,0.0,រឿង ថ្មី នេះ ធ្វើឱ្យ ខ្ញុំ ខកចិត្ត ។,រឿង ថ្មី នេះ ធ្វើឱ្យ ខ្ញុំ ខកចិត្ត ។
94,បទថ្មីនេះមិនទាក់ចិត្ត។,Negative,0.0,បទ ថ្មី នេះ មិន ទាក់ចិត្ត ។,បទ ថ្មី នេះ មិន ទាក់ចិត្ត ។
